Date,Resource_ID,Resource_Name,Resource_Type,Quantity_Used,Lab_Department,Usage_Frequency,Reorder_Level,Max_Stock,Stock_Level
2025-04-17,R001,Ethanol 95%,Chemical,10,Biochemistry,High,50,500,490
2025-04-17,R004,Hydrochloric Acid 1M,Chemical,2,Microbiology,Medium,30,100,98
2025-04-17,R005,Acetone,Chemical,13,General AI Lab,High,40,300,287
2025-04-17,R007,Centrifuge Tubes,Consumable,4,General AI Lab,High,25,250,246
2025-04-17,R010,Distilled Water (L),Chemical,21,Microbiology,Very High,100,1000,979
2025-04-17,R002,Petri Dishes (Pack),Consumable,13,Analytical Chemistry,High,20,200,187
2025-04-17,R002,Petri Dishes (Pack),Consumable,4,Pathology,High,20,200,183
2025-04-17,R003,Pipette Tips (Box),Consumable,4,Analytical Chemistry,Medium,15,150,146
2025-04-17,R007,Centrifuge Tubes,Consumable,12,Analytical Chemistry,High,25,250,234
2025-04-17,R008,Sodium Hydroxide 1M,Chemical,5,Microbiology,Low,20,80,75
2025-04-17,R004,Hydrochloric Acid 1M,Chemical,8,General AI Lab,Medium,30,100,90
2025-04-17,R004,Hydrochloric Acid 1M,Chemical,9,Pathology,Medium,30,100,81
2025-04-17,R009,Gloves (Box),Consumable,2,General AI Lab,High,50,400,398
2025-04-17,R002,Petri Dishes (Pack),Consumable,8,Biochemistry,High,20,200,175
2025-04-17,R007,Centrifuge Tubes,Consumable,3,Microbiology,High,25,250,231
2025-04-17,R009,Gloves (Box),Consumable,4,General AI Lab,High,50,400,394
2025-04-17,R004,Hydrochloric Acid 1M,Chemical,3,Microbiology,Medium,30,100,78
2025-04-17,R005,Acetone,Chemical,2,Biochemistry,High,40,300,285
2025-04-18,R008,Sodium Hydroxide 1M,Chemical,8,Analytical Chemistry,Low,20,80,73
2025-04-18,R003,Pipette Tips (Box),Consumable,10,General AI Lab,Medium,15,150,142
2025-04-18,R009,Gloves (Box),Consumable,16,General AI Lab,High,50,400,384
2025-04-18,R007,Centrifuge Tubes,Consumable,26,Pathology,High,25,250,211
2025-04-18,R003,Pipette Tips (Box),Consumable,13,General AI Lab,Medium,15,150,135
2025-04-18,R009,Gloves (Box),Consumable,23,Microbiology,High,50,400,367
2025-04-18,R001,Ethanol 95%,Chemical,11,Biochemistry,High,50,500,485
2025-04-18,R002,Petri Dishes (Pack),Consumable,20,Pathology,High,20,200,161
2025-04-18,R004,Hydrochloric Acid 1M,Chemical,14,Pathology,Medium,30,100,70
2025-04-18,R006,Microscope Slides,Consumable,10,Biochemistry,Medium,10,100,96
2025-04-18,R010,Distilled Water (L),Chemical,56,Analytical Chemistry,Very High,100,1000,929
2025-04-18,R005,Acetone,Chemical,25,Biochemistry,High,40,300,266
2025-04-18,R001,Ethanol 95%,Chemical,18,Pathology,High,50,500,473
2025-04-18,R006,Microscope Slides,Consumable,7,Biochemistry,Medium,10,100,95
2025-04-18,R003,Pipette Tips (Box),Consumable,14,Pathology,Medium,15,150,127
2025-04-18,R003,Pipette Tips (Box),Consumable,15,Biochemistry,Medium,15,150,118
2025-04-18,R005,Acetone,Chemical,10,General AI Lab,High,40,300,262
2025-04-18,R006,Microscope Slides,Consumable,12,Biochemistry,Medium,10,100,89
2025-04-18,R008,Sodium Hydroxide 1M,Chemical,9,Biochemistry,Low,20,80,70
2025-04-18,R002,Petri Dishes (Pack),Consumable,20,Analytical Chemistry,High,20,200,147
2025-04-18,R005,Acetone,Chemical,10,Biochemistry,High,40,300,258
2025-04-18,R005,Acetone,Chemical,10,Biochemistry,High,40,300,254
2025-04-19,R009,Gloves (Box),Consumable,5,Analytical Chemistry,High,50,400,362
2025-04-19,R005,Acetone,Chemical,18,Biochemistry,High,40,300,236
2025-04-19,R003,Pipette Tips (Box),Consumable,8,Microbiology,Medium,15,150,110
2025-04-19,R008,Sodium Hydroxide 1M,Chemical,5,Analytical Chemistry,Low,20,80,65
2025-04-19,R009,Gloves (Box),Consumable,10,Analytical Chemistry,High,50,400,352
2025-04-19,R009,Gloves (Box),Consumable,2,Microbiology,High,50,400,350
2025-04-19,R002,Petri Dishes (Pack),Consumable,11,Pathology,High,20,200,136
2025-04-20,R004,Hydrochloric Acid 1M,Chemical,1,Biochemistry,Medium,30,100,69
2025-04-20,R008,Sodium Hydroxide 1M,Chemical,1,General AI Lab,Low,20,80,64
2025-04-20,R010,Distilled Water (L),Chemical,10,Microbiology,Very High,100,1000,919
2025-04-20,R002,Petri Dishes (Pack),Consumable,13,Analytical Chemistry,High,20,200,123
2025-04-20,R006,Microscope Slides,Consumable,3,General AI Lab,Medium,10,100,86
2025-04-20,R009,Gloves (Box),Consumable,2,General AI Lab,High,50,400,348
2025-04-20,R006,Microscope Slides,Consumable,8,Microbiology,Medium,10,100,78
2025-04-20,R009,Gloves (Box),Consumable,8,Biochemistry,High,50,400,340
2025-04-21,R007,Centrifuge Tubes,Consumable,18,Pathology,High,25,250,196
2025-04-21,R002,Petri Dishes (Pack),Consumable,18,Analytical Chemistry,High,20,200,108
2025-04-21,R007,Centrifuge Tubes,Consumable,11,Microbiology,High,25,250,188
2025-04-21,R008,Sodium Hydroxide 1M,Chemical,5,Pathology,Low,20,80,62
2025-04-21,R003,Pipette Tips (Box),Consumable,13,General AI Lab,Medium,15,150,100
2025-04-21,R008,Sodium Hydroxide 1M,Chemical,5,General AI Lab,Low,20,80,60
2025-04-21,R009,Gloves (Box),Consumable,12,Analytical Chemistry,High,50,400,331
2025-04-21,R001,Ethanol 95%,Chemical,12,Microbiology,High,50,500,464
2025-04-21,R004,Hydrochloric Acid 1M,Chemical,4,Microbiology,Medium,30,100,68
2025-04-21,R001,Ethanol 95%,Chemical,15,Microbiology,High,50,500,452
2025-04-21,R006,Microscope Slides,Consumable,4,General AI Lab,Medium,10,100,77
2025-04-21,R009,Gloves (Box),Consumable,12,General AI Lab,High,50,400,322
2025-04-21,R003,Pipette Tips (Box),Consumable,8,General AI Lab,Medium,15,150,95
2025-04-21,R010,Distilled Water (L),Chemical,35,Biochemistry,Very High,100,1000,887
2025-04-21,R009,Gloves (Box),Consumable,11,Analytical Chemistry,High,50,400,314
2025-04-21,R003,Pipette Tips (Box),Consumable,11,General AI Lab,Medium,15,150,87
